student_code,age,bac_level,subject,eval_type,mark
d13dbebf3902775b16804852786e57b1066a61e97f7f02e726c22a9b2b68474d,17.0,2ème Année Bac Sciences Economiques,INSTRUCTION ISLAMIQUE,National,
d13dbebf3902775b16804852786e57b1066a61e97f7f02e726c22a9b2b68474d,17.0,2ème Année Bac Sciences Economiques,ASSIDUITE ET CONDUITE,National,
7a30d07c537b44dd18027f2e88425ccb5f1930d1e458b9df6425182c0aaee2a3,17.0,2ème Année Bac Sciences Mathématiques A - Option Français,LANGUE ANGLAISE,National,
7a30d07c537b44dd18027f2e88425ccb5f1930d1e458b9df6425182c0aaee2a3,17.0,2ème Année Bac Sciences Mathématiques A - Option Français,MATHEMATIQUES,National,
7a30d07c537b44dd18027f2e88425ccb5f1930d1e458b9df6425182c0aaee2a3,17.0,2ème Année Bac Sciences Mathématiques A - Option Français,SC. DE LA VIE ET DE LA TERRE,National,
7a30d07c537b44dd18027f2e88425ccb5f1930d1e458b9df6425182c0aaee2a3,17.0,2ème Année Bac Sciences Mathématiques A - Option Français,PHYSIQUE CHIMIE,National,10.0
7a30d07c537b44dd18027f2e88425ccb5f1930d1e458b9df6425182c0aaee2a3,17.0,2ème Année Bac Sciences Mathématiques A - Option Français,PHILOSOPHIE,National,
42d9ac9dbcc4bd6840034bd6270530b778189fcf166b84b5b89d168fbac894a7,17.5,2ème Année Bac Sciences Mathématiques A - Option Français,LANGUE ANGLAISE,National,14.0
42d9ac9dbcc4bd6840034bd6270530b778189fcf166b84b5b89d168fbac894a7,17.5,2ème Année Bac Sciences Mathématiques A - Option Français,MATHEMATIQUES,National,7.0
42d9ac9dbcc4bd6840034bd6270530b778189fcf166b84b5b89d168fbac894a7,17.5,2ème Année Bac Sciences Mathématiques A - Option Français,SC. DE LA VIE ET DE LA TERRE,National,9.5
42d9ac9dbcc4bd6840034bd6270530b778189fcf166b84b5b89d168fbac894a7,17.5,2ème Année Bac Sciences Mathématiques A - Option Français,PHYSIQUE CHIMIE,National,5.5
42d9ac9dbcc4bd6840034bd6270530b778189fcf166b84b5b89d168fbac894a7,17.5,2ème Année Bac Sciences Mathématiques A - Option Français,PHILOSOPHIE,National,16.0
d49a41c0dedf0d8582ff3e06b62b8fdfefd9d3109d9c1effe165673ec19f1304,16.833333333333332,2ème Année Bac Sciences Mathématiques A - Option Français,LANGUE ANGLAISE,National,16.5
d49a41c0dedf0d8582ff3e06b62b8fdfefd9d3109d9c1effe165673ec19f1304,16.833333333333332,2ème Année Bac Sciences Mathématiques A - Option Français,MATHEMATIQUES,National,6.75
d49a41c0dedf0d8582ff3e06b62b8fdfefd9d3109d9c1effe165673ec19f1304,16.833333333333332,2ème Année Bac Sciences Mathématiques A - Option Français,SC. DE LA VIE ET DE LA TERRE,National,8.5
d49a41c0dedf0d8582ff3e06b62b8fdfefd9d3109d9c1effe165673ec19f1304,16.833333333333332,2ème Année Bac Sciences Mathématiques A - Option Français,PHYSIQUE CHIMIE,National,3.0
d49a41c0dedf0d8582ff3e06b62b8fdfefd9d3109d9c1effe165673ec19f1304,16.833333333333332,2ème Année Bac Sciences Mathématiques A - Option Français,PHILOSOPHIE,National,16.5
1103d6b5d44a858efe88c35ad30b4a2885a233756e1577eb2d3f04cbd7245886,16.833333333333332,2ème Année Bac Sciences Mathématiques A - Option Français,LANGUE ANGLAISE,National,14.25
1103d6b5d44a858efe88c35ad30b4a2885a233756e1577eb2d3f04cbd7245886,16.833333333333332,2ème Année Bac Sciences Mathématiques A - Option Français,MATHEMATIQUES,National,8.5
1103d6b5d44a858efe88c35ad30b4a2885a233756e1577eb2d3f04cbd7245886,16.833333333333332,2ème Année Bac Sciences Mathématiques A - Option Français,SC. DE LA VIE ET DE LA TERRE,National,11.0
1103d6b5d44a858efe88c35ad30b4a2885a233756e1577eb2d3f04cbd7245886,16.833333333333332,2ème Année Bac Sciences Mathématiques A - Option Français,PHYSIQUE CHIMIE,National,4.0
1103d6b5d44a858efe88c35ad30b4a2885a233756e1577eb2d3f04cbd7245886,16.833333333333332,2ème Année Bac Sciences Mathématiques A - Option Français,PHILOSOPHIE,National,16.0
fbe6f26f00021e47a71e622f6dd0e7bdddacaf0ff64f1b37323bb794f1fff17d,16.833333333333332,2ème Année Bac Sciences Mathématiques A - Option Français,LANGUE ANGLAISE,National,11.5
fbe6f26f00021e47a71e622f6dd0e7bdddacaf0ff64f1b37323bb794f1fff17d,16.833333333333332,2ème Année Bac Sciences Mathématiques A - Option Français,MATHEMATIQUES,National,11.25
fbe6f26f00021e47a71e622f6dd0e7bdddacaf0ff64f1b37323bb794f1fff17d,16.833333333333332,2ème Année Bac Sciences Mathématiques A - Option Français,SC. DE LA VIE ET DE LA TERRE,National,11.0
